111336,kiss-curl's mirjam,f,,,normal,4.55
111255,ch unicoon lotus of the nile,f,,,normal,11.3
111318,five islands no sweeter love,m,146352,338838,hcm,2.99
111239,ch magic lake nature boy,m,,,normal,14.6
111221,charming coon brand new day of a nice moon,f,245588,180178,normal,5.79
111444,cotyledon's meduza,f,,,normal,45.4
111454,ww ec sebasco daker devito,m,,,normal,22.1
111452,gip ec ma coo's zambora,m,,,normal,23.4
111368,ch allmykittens feebe tyler of san-toi,f,,,normal,15
111420,absolut coon's enzo ferrari,m,387667,212511,normal,4.81
111536,kaiwara kahana,m,,,normal,46.8
111573,pr gic drakborgens quiddi trollpacka,f,350324,303134,normal,3.58
111557,c.p. rags soul man of piedpipurr,m,,,normal,42.8
111480,rexintons mr smoke rings,m,,,normal,23.5
111602,skindividual piece of my heart,f,244205,166312,hcm,7.15
111626,ruskprickens pim-pim,f,,,normal,7.01
111654,operacoon's zerlina,f,144509,151055,normal,8.3
111621,maxi coon's panic attack,m,200600,254140,normal,13.6
111706,brigida di bell-gattini,f,178706,246619,normal,11.1
111807,ch zippycat's larisso,m,257566,386264,normal,8.52
111916,ip & ic clementia ab-cat,f,,,normal,8.05
111902,dorwill painted lady of willowplace,f,,,normal,18
112001,ic wytopitlock fair-y-nuff,f,104338,100885,normal,14.8
111937,sevenwonders queen latifa,f,,,normal,15.1
111825,true trust joker face,m,160961,411860,normal,12.9
112116,rw sgc bemisu olive,f,,,normal,7.4
112051,ec sebasco puschkin,m,177258,377884,normal,21.3
112017,ic sir maxwell's yatsie,f,247411,332740,normal,2.87
112052,redwoods gysi of burgdorfcats,m,,,normal,24.9
112108,ch molga's magic man,m,,,normal,20.8
112199,gic killix white nose buffy,m,,,normal,3.97
112182,avicats peperoncino,m,,,normal,12.6
112195,ic uriah heep ultra v. wunderbaum,f,218908,148330,normal,1.65
112196,shanna patwin magnolia,f,362372,194414,hcm,10.2
112134,gic biseros garfield qj,m,172046,102482,normal,35.1
112212,ch strömnäcken's iva mgd,f,,,normal,3.1
112205,zend avesta steffy,f,349622,322074,normal,10.5
112428,magneticats xenia,f,,,normal,21.7
112375,charmain of forest shadows,f,288041,158137,normal,9.78
112539,silvermeadow salvi,f,,,normal,9.18
112604,ch alizarin after midnight,f,,,normal,1.01
112661,dalkullans ninja,f,,,normal,2.41
112634,gugger's jade,f,,,normal,19.8
112569,wildwood's wirvla,f,,,normal,2.92
112629,dynamicats country p road,f,,,normal,6.46
112818,amulet's destiny,f,246462,242423,normal,36.5
112753,ch skaujenta's alvarin,m,143616,367529,normal,2.68
112705,exquisite primrose gamgee,f,,,normal,19.5
112828,kallibunker's coco chanel,f,369817,183762,hcm,15.3
112693,ic tabaluga of blue fire of lamalu,m,137000,380163,normal,27.3
112949,ec solkatz golden sam of forestsprite,m,,,normal,29.2
112915,rushmore exit,m,,,normal,17.8
112966,pipistrello's darling dynamite,f,113198,157970,normal,14.8
112879,king of lion's d-manhattan of shaggy bandits,m,227348,152314,normal,14.8
112952,jappcoon mazarin,f,234102,317435,normal,5.32
112989,ragnarok's moriah of angelrags,f,,,normal,28.8
113031,mrs cloudys pride apollo,m,,,normal,4.79
113038,katrinelund's gilbert,m,,,normal,34.4
113016,kittycoonz honeysuckle rose,f,,,normal,14
113078,lindevoll's joy,f,,,normal,12.5
113123,prairiebaby gonna be worth it all,m,,,normal,0
113198,allarren ikelos,m,,,normal,25.6
113305,chanel von der hummelwiese,f,188404,335452,normal,14
113107,röda nejlikan's up-and-coming,f,191200,158250,normal,23.6
113250,snurrpan's evelina,f,373444,150855,normal,30.3
113413,tallkatten azov,m,270718,203385,normal,0.0122
113380,o toyos bald gilette,f,190842,180492,normal,9.2
113343,ec tinja skoven's snekat,m,,,normal,1.92
113383,big blue's sudowoodo,m,,,normal,19.7
113363,ch al capones jake,m,356562,236798,normal,4.86
113443,ic dust & dawn tutankhamon,m,268414,114431,normal,0.631
113491,kebekat basker,m,,,normal,28
113455,florian's shakira,f,293460,171491,normal,16.7
113482,gic chesapeake britta cathlyn,f,,,normal,16.5
113441,fennecs sombrero,m,,,normal,10.7
