ID,Name,Sex,Sire,Dam,HCM
1268719,Genuine Devas Ceres,F,862876,981881,Normal
1268721,Deenlay Truly Scrumptious,F,1112632,1206720,Normal
1268724,Dunhjärtat's Sjangdoble Toblerone,M,1268725,1089870,Normal
1268727,PR Deenlay Kalinda,F,1102500,1268721,Normal
1268726,Deenlay Tsunkyankse Kitkat,F,1112632,1206720,Normal
1268729,IC O'Layla van Minou Bloe,F,1130289,1218903,Normal
1268788,Trinity of Beauty Wizards,M,1132675,1091770,Normal
1268786,Isabella vom Altwasser,F,1143482,1186857,Normal
1268789,CH Iron Man of deep Affection,M,1243214,1145940,Normal
1268791,CH Maxine of deep Affection,F,1243214,987890,Normal
1268790,Caroline of deep Affection,F,1243214,987890,Normal
1268802,Gina Lisa Rising Star of True Soul,F,1145303,1145300,Normal
1268935,Lady,F,1187226,1146443,Normal
1268940,Sandra Milenas Mirana,F,1101853,1146441,Normal
1268977,Simpsalacoon's O Sole Mio,M,894213,1086655,Normal
1269030,Aphrodite of the Seven Mountains,F,1177143,1152157,Normal
1269031,Wattuwarpaan Tempsuff Mari,F,1139325,1269032,Normal
1269111,Takida's Verona,F,807209,1140348,Normal
1269150,Old Towns Diana,F,1269151,641332,Normal
1269160,Mister Call Me Figaro of Cattitudes,M,1094916,1185777,Normal
1269162,Los Mejores Victoriano,M,1269163,1269164,Normal
1269166,GIC Dunibella,F,1269167,1269168,Normal
1269176,SC Barsac des Fines Terres,M,866845,976136,Normal
