ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
115189,f,false,,false,,false
115194,f,false,,false,,false
115223,m,false,,false,,false
115270,f,false,,false,,false
115289,f,false,,false,,false
115292,m,false,,false,,false
115301,f,false,283447,false,400395,false
115318,m,false,124522,false,283668,false
115348,f,false,,false,,false
115349,f,false,,false,,false
115376,m,false,,false,,false
115390,f,false,156311,false,274663,false
115436,f,false,,false,,false
115462,f,false,212798,false,241263,false
115498,f,false,,false,,false
115507,f,false,133569,false,344067,false
115527,f,false,224657,false,239222,false
115530,m,false,,false,,false
115552,m,false,265324,false,383015,false
115553,f,false,149160,false,372375,false
115599,m,false,,false,,false
115617,f,false,,false,,false
115638,f,false,,false,,false
115639,m,false,389921,false,207735,false
115706,f,false,,false,,false
115726,f,false,,false,,false
115767,f,false,,false,,false
115927,m,false,,false,,false
116024,m,false,,false,,false
116099,f,false,,false,,false
116128,f,false,,false,,false
116154,m,false,,false,,false
116185,f,false,,false,,false
116199,f,false,325889,false,238562,false
116201,m,false,262757,false,300890,false
116216,m,false,,false,,false
116230,m,false,111141,false,359150,false
116295,m,false,395485,false,361264,false
116365,m,false,166541,true,331219,false
116380,f,false,,false,,false
116384,m,false,,false,,false
116413,m,true,409237,false,405756,false
116487,f,false,247658,false,409306,false
116531,f,false,301911,false,407108,false
116541,f,false,,false,,false
116589,f,false,,false,,false
116606,f,false,227552,false,386066,false
116615,f,false,,false,,false
116625,f,false,,false,,false
116627,m,false,160018,false,158335,false
116722,f,false,333237,false,135847,false
116723,m,false,,false,,false
116732,f,false,155911,false,369496,false
116766,f,false,,false,,false
116779,f,false,178231,false,246946,false
116782,m,false,,false,,false
116837,f,false,241193,false,150784,false
116849,m,false,,false,,false
116875,f,false,,false,,false
116902,m,false,,false,,false
116916,f,false,,false,,false
116966,m,false,,false,,false
116992,m,false,,false,,false
117047,m,false,,false,,false
117057,f,false,224624,false,358026,false
117070,f,false,,false,,false
117092,m,false,304616,false,219781,false
117125,f,false,,false,,false
117128,f,false,102243,false,332740,false
117190,m,false,,false,,false
117266,m,false,,false,,false
117271,f,false,169785,false,307529,false
117278,m,false,,false,,false
117279,f,false,408169,false,344429,false
117282,f,false,135800,false,251981,false
117309,m,false,,false,,false
117328,m,false,,false,,false
117423,m,false,,false,,false
117436,m,false,410980,false,357487,false
117460,m,false,,false,,false
117512,f,false,340824,false,298765,false
117602,f,false,,false,,false
117606,m,false,363846,false,298725,false
117636,f,false,,false,,false
117709,m,false,,false,,false
117718,f,false,,false,,false
117730,m,false,,false,,false
117774,m,false,,false,,false
117776,f,false,,false,,false
117818,f,false,,false,,false
117860,f,false,,false,,false
117872,m,false,,false,,false
117882,f,false,387667,false,212511,false
117891,m,false,396336,false,373949,false
117892,m,false,,false,,false
117929,f,false,,false,,false
117982,f,false,,false,,false
117984,f,false,,false,,false
118023,m,false,,false,,false
118032,f,false,347008,false,295640,false
118144,f,false,278117,false,185593,false
118147,f,false,345953,false,230022,false
118175,m,false,,false,,false
118193,m,false,,false,,false
118304,m,false,,false,,false
118347,f,false,,false,,false
118359,f,false,382772,false,361977,false
118441,m,false,109423,false,198941,false
118465,m,true,309735,false,244909,false
118523,m,false,382724,false,200417,false
118565,f,false,,false,,false
118629,m,false,,false,,false
118673,f,false,,false,,false
118687,f,false,,false,,false
118688,m,false,,false,,false
118742,m,true,387667,false,212511,false
118759,f,false,245588,false,188530,false
118764,f,false,,false,,false
118783,m,false,,false,,false
118784,m,false,,false,,false
118834,m,false,,false,,false
118877,m,false,,false,,false
118880,f,false,,false,,false
118929,f,false,,false,,false
118966,m,false,,false,,false
119048,m,false,366924,false,220738,false
119153,m,false,,false,,false
119258,f,false,110644,false,300340,false
119264,f,false,182607,false,158637,false
119288,m,false,,false,,false
119324,m,false,251515,false,312823,false
119333,f,false,287003,false,144673,false
119377,m,false,,false,,false
119406,f,false,302284,false,163586,false
119431,f,false,244763,false,185315,false
119446,m,false,,false,,false
119456,m,false,204943,false,275823,false
119458,m,true,248528,false,199416,false
119467,f,false,125255,false,113107,false
119481,f,false,304410,false,341648,false
119575,f,false,,false,,false
119587,m,false,,false,,false
119632,f,false,343971,false,174386,false
119671,f,false,171463,false,116916,false
119674,f,false,272578,false,381580,false
119771,m,false,,false,,false
119791,f,false,160606,false,266240,false
119845,m,false,,false,,false
119920,m,false,,false,,false
120019,m,false,,false,,false
120036,f,false,,false,,false
120055,m,false,,false,,false
120079,f,false,,false,,false
120093,m,false,,false,,false
120100,f,false,,false,,false
120149,m,false,,false,,false
120158,m,false,,false,,false
120180,f,false,141750,false,212745,false
120197,f,true,142378,false,150328,false
120211,m,false,,false,,false
120232,f,false,,false,,false
