ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM,Probability
115390,f,False,156311.0,False,274663.0,False,0.0
115436,f,False,,False,,False,0.0
115462,f,False,212798.0,False,241263.0,False,0.0
115498,f,False,,False,,False,0.0
115507,f,False,133569.0,False,344067.0,False,0.0
115527,f,False,224657.0,False,239222.0,False,0.0
115530,m,False,,False,,False,0.0
115552,m,False,265324.0,False,383015.0,False,0.0
115553,f,False,149160.0,False,372375.0,False,0.0
115599,m,False,,False,,False,0.0
115617,f,False,,False,,False,0.0
115638,f,False,,False,,False,0.0
115639,m,False,389921.0,False,207735.0,False,0.0
115706,f,False,,False,,False,0.0
115726,f,False,,False,,False,0.0
115767,f,False,,False,,False,0.0
115927,m,False,,False,,False,0.0
116024,m,False,,False,,False,0.0
116099,f,False,,False,,False,0.0
116128,f,False,,False,,False,0.0
116154,m,False,,False,,False,0.0
116185,f,False,,False,,False,0.0
116199,f,False,325889.0,False,238562.0,False,0.0
116201,m,False,262757.0,False,300890.0,False,0.0
116216,m,False,,False,,False,0.0
116230,m,False,111141.0,False,359150.0,False,0.0
116295,m,False,395485.0,False,361264.0,False,0.0
116365,m,False,166541.0,True,331219.0,False,0.0
116380,f,False,,False,,False,0.0
116384,m,False,,False,,False,0.0
116413,m,True,409237.0,False,405756.0,False,0.0
116487,f,False,247658.0,False,409306.0,False,0.0
116531,f,False,301911.0,False,407108.0,False,0.0
116541,f,False,,False,,False,0.0
116589,f,False,,False,,False,0.0
116606,f,False,227552.0,False,386066.0,False,0.0
116615,f,False,,False,,False,0.0
116625,f,False,,False,,False,0.0
116627,m,False,160018.0,False,158335.0,False,0.0
116722,f,False,333237.0,False,135847.0,False,0.0
116723,m,False,,False,,False,0.0
116732,f,False,155911.0,False,369496.0,False,0.0
116766,f,False,,False,,False,0.0
116779,f,False,178231.0,False,246946.0,False,0.0
116782,m,False,,False,,False,0.0
116837,f,False,241193.0,False,150784.0,False,0.0
116849,m,False,,False,,False,0.0
116875,f,False,,False,,False,0.0
116902,m,False,,False,,False,0.0
116916,f,False,,False,,False,0.0
116966,m,False,,False,,False,0.0
116992,m,False,,False,,False,0.0
117047,m,False,,False,,False,0.0
117057,f,False,224624.0,False,358026.0,False,0.0
117070,f,False,,False,,False,0.0
117092,m,False,304616.0,False,219781.0,False,0.0625
117125,f,False,,False,,False,0.0
117128,f,False,102243.0,False,332740.0,False,0.0
117190,m,False,,False,,False,0.0
117266,m,False,,False,,False,0.0
117271,f,False,169785.0,False,307529.0,False,0.0
117278,m,False,,False,,False,0.0
117279,f,False,408169.0,False,344429.0,False,0.0
117282,f,False,135800.0,False,251981.0,False,0.0
117309,m,False,,False,,False,0.0
117328,m,False,,False,,False,0.0
117423,m,False,,False,,False,0.0
117436,m,False,410980.0,False,357487.0,False,0.0
117460,m,False,,False,,False,0.0
117512,f,False,340824.0,False,298765.0,False,0.0
117602,f,False,,False,,False,0.0
117606,m,False,363846.0,False,298725.0,False,0.0
117636,f,False,,False,,False,0.0
117709,m,False,,False,,False,0.0
117718,f,False,,False,,False,0.0
117730,m,False,,False,,False,0.0
117774,m,False,,False,,False,0.0
117776,f,False,,False,,False,0.0
